,Company_Name,Location,Industry,Investor,Amount,Funding_Stage,Year
158,BitClass,Bangalore,PaaS startup,"AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000.0,Seed,2020
159,Gonuts,Mumbai,Entertainment,"Sweta Rau, Archana Priyadarshini",400000.0,Seed,2020
160,Uolo,Bangalore,EdTech,"Rajul Garg, Purvi Capital",2000000.0,Seed,2020
161,Kirana King,Jaipur,Retail,Rajasthan Venture Capital Fund,900000.0,Pre-series A,2020
162,Jade Forest,Delhi,Beverages,,250000.0,Seed,2020
163,iKure,Kolkata,HealthTech,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",,,2020
164,FrontRow,Bangalore,EdTech,"Lightspeed, Elevation, Deepika Padukone",3200000.0,Seed,2020
165,Reliance Retail,Mumbai,E-commerce,"Abu Dhabi Investment Authority, GIC",10000000.0,,2020
167,Ather Energy,Bangalore,Automobiles,HeroMotoCorp Ltd and Sachin Bansal,35000000.0,Series D,2020
168,Routematic,Bangalore,SaaS startup,"VAMM Ventures, Naresh Malhotra",2000000.0,,2020
169,LivFin,Delhi,FinTech,"DEG, KFW DEG",4700000.0,,2020
170,Universal Sportsbiz Pvt Ltd,Bangalore,Fashion startup,"Accel, Alteria Capital",,,2020
171,Lattu Kids,Mumbai,EdTech,Mumbai Angels Network,,,2020
172,Eggoz,Indore,Food & Bevarages,"AVANA Capital, Rebright Partners",1500000.0,Pre-series A,2020
173,Steradian Semiconductors,Bangalore,Deeptech,Endiya Partners.,,,2020
174,CHARGE+ZONE,Gujarat,EV startup,Mumbai Angels,3000000.0,Pre-series A,2020
175,Stones2milestones,Gurugram,EdTech,"Menterra Venture Advisors, Emandi Sankara Rao",2000000.0,Bridge,2020
177,AjnaLens,Thane,AR/VR startup,"Mohsin Hani Al Bahrani, MoD",1000000.0,Bridge,2020
178,Gully Network,Bangalore,E-commerce,"CP Ventures, Orios Venture Partners",1200000.0,Pre-series A,2020
179,TurboHire,Hyderabad,Recruitment startup,"Kia Ora Ventures, Pentathlon Ventures",1000000.0,Seed,2020
180,Traya,Mumbai,HealthTech,"Kae Capital, Whiteboard Capital",,Seed,2020
181,Charcoal Eats,Mumbai,QSR startup,Lokmat Investments,2000000.0,,2020
182,Mitron TV,Bangalore,Video platform,9Unicorns,,,2020
183,Svami,Mumbai,Food & Bevarages,"Niren Shah, Rukam Capital Trust",800000.0,,2020
184,Dhurnia,Dhingsara,EdTech,"Chandigarh Angels Network, Modulor Capital",100000.0,,2020
185,Expertrons,Mumbai,EdTech,"Rohit Chanana, Sukanta Ganguly",,,2020
187,Bizlog,Bangalore,Logistics,IAN Fund,1000000.0,,2020
188,Tamasha.live,Mumbai,Gaming,"9Unicorns, Titan Capital, FirstCheque",300000.0,,2020
189,Fedo,Bangalore,AI startup,AIM Smart City,1000000.0,,2020
190,FabHotels,Gurugram,Hospitality,"RB Investments Pte. Ltd, Goldman Sachs",1000000.0,,2020
191,Freshokartz,Jaipur,AgriTech,"Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0,Pre-series A,2020
192,FlexiLoans,Mumbai,FinTech,>Vikram Sud,6000000.0,Debt,2020
193,Agrix,Patna,AgriTech,Maple Capital Advisors,,,2020
194,BharatAgri,Pune,AgriTech,"021 Capital, India Quotient",,Pre-series A,2020
195,FreshtoHome,Bangalore,E-commerce,"Ascent Capital, Iron Pillar",121000000.0,Series C,2020
196,Credable,Mumbai,FinTech,Oaks Asset Management,4500000.0,,2020
197,Railofy,Mumbai,Transportation,"Roots Ventures, Better Capital",5000000.0,Seed,2020
198,Finova Capital,Jaipur,FinTech,"Sequoia Capital India, Faering Capital",55000000.0,,2020
199,Teachmint,Bangalore,Edtech,Lightspeed India,3500000.0,Seed,2020
200,Peel-Works,Mumbai,E-commerce,"CESC Ventures, Brun Raschle",3000000.0,,2020
201,Janani,Bangalore,Fertility tech,9Unicorns,200000.0,Pre-seed,2020
202,Credgenics,Gurugram,FinTech,"Accel, Sunder Nookala",3300000.0,Seed,2020
203,Finelistings,Delhi,Luxury car startup,Justdial,,,2020
204,Wellversed,Delhi,Healthcare,"KLUB Works, Shankar Narayanan",,Pre-series A,2020
206,Jumbotail,Bangalore,E-commerce,Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000.0,Series B2,2020
207,Winzo,Delhi,Gaming startup,"Makers Fund, Courtside Ventures",2000000.0,,2020
208,mCaffeine,Mumbai,Cosmetics,"RPSG Ventures, Amicus Capital",5000000.0,Series B,2020
209,Pocket FM,Bangalore,FM,"Times Group, Lightspeed",5000000.0,Series A,2020
210,Snackible,Mumbai,Healthcare,"Mumbai Angels, Murali Nair",,Bridge,2020
211,FreshtoHome,Bangalore,E-commerce,"Ascent Capital, Iron Pillar",16000000.0,,2020
212,Jumbotail,Bangalore,Retail,"Nexus Venture Partners, Capria Ventures",11000000.0,Series B2,2020
213,Nykaa,Mumbai,E-commerce,"Katrina Kaif, Steadview Capital",,,2020
214,TagZ Foods,Bangalore,Food,"Exfinity Venture Partners, Shesh Kondi",,,2020
215,Genius Teacher,Mumbai,Edtech,"Sandeep Tandon, Daniel Lapus",2000000.0,,2020
216,Krimanshi Feeds,Jodhpur,Nutrition sector,"Rajasthan Venture Capital Fund, AIM Smart City",500000.0,,2020
217,Origo,Gurugram,AgriTech,Northern Arc Capital,4000000.0,Debt,2020
218,GetVantage,Mumbai,FinTech,"Samyakth Capital, Venture Catalysts",5000000.0,Seed,2020
219,Betterplace,Bangalore,Tech platform,Jungle Ventures,10000000.0,Series B,2020
220,Biddano,Mumbai,Healthcare,Windrose Capital,600000.0,Pre-series A,2020
221,InVideo,Mumbai,Video,"Base Partners, Sequoia Capital India",15000000.0,Series A,2020
222,Arzooo,Bangalore,Retail Tech,"3Lines, Jabbar Internet Group",7500000.0,Series A,2020
224,BASIC Home Loan,Gurugram,FinTech,Picus Capital,5000000.0,Seed,2020
226,SUGAR cosmetics,Mumbai,Cosmetics,"A91 Partners, RB Investments Pte. Ltd",2000000.0,Debt,2020
227,Signzy,Bangalore,FinTech,"GenNext Ventures, Contrarian Drishti Partners",5400000.0,,2020
228,Ahaguru,Chennai,Edtech,Anand Mahindra,,Series A,2020
231,EzeRx,Kolkata,Medtech,"Indian Oil Corporation, Krishna Chakravarty",200000.0,Seed,2020
233,Genius Teacher,Mumbai,Edtech,"Whiteboard Capital, VKG Ventures LLP.",2000000.0,,2020
234,Ultraviolette Automotive,Bangalore,Automobiles,TVS Motor Company,4000000.0,Series B,2020
235,Tring,Mumbai,Social Media,"Sujeet Kumar, Hemesh Singh",,,2020
236,Rare Planet,Kolkata,Retail startup,Venture Catalysts,400000.0,Pre-series A,2020
237,GoodGamer,Bangalore,Gaming,,2500000.0,Seed,2020
238,InnAccel,Bangalore,Medtech,Mount Judi Ventures,1500000.0,Pre-series A,2020
241,SoOLEGAL,Delhi,LegalTech,,4000000.0,,2020
242,HobSpace,Mumbai,Edtech,Artha Venture,200000.0,Seed,2020
243,Supplynote,Noida,SaaS startup,"MOX, SOSV",500000.0,Seed,2020
244,Hire Me Car,Noida,Car Service,,,Seed,2020
246,Harmonizer India,Bangalore,Tech Startup,Kapil Dev,,,2020
247,Zomato,Gurugram,FoodTech,"Kora, Tiger Global Management",52000000.0,,2020
248,Dukaan,Mumbai,Tech Startup,"Lightspeed, Matrix Partners.",6000000.0,Seed,2020
249,CredR,Mumbai,Bike marketplace,"Eight Roads Ventures, On Mauritius",2000000.0,,2020
250,Satyukt,Bangalore,Agri tech,"NABVENTURES, Social Alpha (India)",500000.0,Seed,2020
251,RACEnergy,Hyderabad,Automobiles,"growX Ventures, Huddle (Incubator)",,,2020
252,TREAD,Bangalore,Fitness startup,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0,Pre-seed,2020
253,Anveshan,Bangalore,FoodTech,Titan Capital,100000.0,Pre-seed,2020
254,TeaMonk,Bangalore,Food & Bevarages,"Lead Angels Network, Roots Ventures",900000.0,Pre-series A,2020
255,Fleetx,Gurugram,Tech Startup,"Rohit Bansal, Rohan Ranavat",3000000.0,Pre-series B,2020
256,ReNEWate,Pune,Real Estate,Real Estate Accelerator Program,,Pre-seed,2020
257,Tango Eye,Chennai,SaaS startup,"Riso Investments, Lenskart",,Seed,2020
